,Country,City,Confirmed,Recovered,Deaths,Latitude,Longtitude
0,Afghanistan,Kabul,447,45,14,34.5260131,69.1776476
1,Afghanistan,Herat,363,95,7,34.3508273,62.2164003
2,Afghanistan,Kandahar,205,2,3,31.6206429,65.7157231
3,Afghanistan,Balkh,55,3,6,36.7581256,66.8980826
4,Afghanistan,Nimruz,45,5,0,30.7753811,62.4793088
5,Afghanistan,Nangarhar,27,0,2,34.220389,70.3800314
6,Afghanistan,Kunduz,24,1,0,36.8707187,68.7563528
7,Afghanistan,Helmand,21,0,0,31.0,64.0
8,Afghanistan,Kunar,19,0,0,34.95,71.133333
9,Afghanistan,Laghman,19,0,0,34.783333,70.183333
10,Afghanistan,Paktia,19,0,0,33.705724,69.4083555
11,Afghanistan,Ghazni,17,3,1,33.3149631,67.828989
12,Afghanistan,Logar,16,2,1,34.0653595,69.160172
13,Afghanistan,Baghlan,12,2,2,35.75,69.0
14,Afghanistan,Jowzjan,11,0,1,36.9665706,65.9560232
15,Afghanistan,Kapisa,10,2,0,34.905556,69.741667
16,Afghanistan,Bamyan,8,2,0,34.75,67.25
17,Afghanistan,Daykundi,8,1,1,33.725113,66.2196554
18,Afghanistan,Farah,8,6,0,32.607111,62.671011
19,Afghanistan,Samangan,8,6,0,36.0,67.666667
20,Afghanistan,Takhar,8,0,2,36.5940732,69.7938996
21,Afghanistan,Panjshir,7,0,0,35.4338536,69.7930899
22,Afghanistan,Zabul,7,2,0,32.3068942,67.129904
23,Afghanistan,Wardak,6,0,0,34.3191345,68.3360426
24,Afghanistan,Faryab,5,1,0,35.9261784,64.6237758
25,Afghanistan,Ghor,4,1,0,34.1605257,64.9201949
26,Afghanistan,Badghis,3,0,0,35.0,63.75
27,Afghanistan,Parwan,3,0,0,34.9797014,68.9146703
28,Afghanistan,Paktika,2,0,0,32.3936231,68.7036514
29,Afghanistan,Badakhshan,1,1,0,36.8040254,71.367658
30,Afghanistan,Oruzgan,1,0,0,32.8129681,66.0183185
31,Afghanistan,Sar-e Pol,1,0,0,35.5532126,66.2426766
32,Algeria,Blida Province,702,133,102,36.4701645,2.8287985
33,Algeria,Algiers Province,466,261,98,36.7753606,3.0601882
34,Algeria,Oran Province,181,50,13,35.7032751,-0.6492976
35,Algeria,Sétif Province,133,2,10,36.1892751,5.403493
36,Algeria,Tipaza Province,109,0,19,2.4482509,36.5918179
37,Algeria,Aïn Defla Province,107,0,5,36.2656797,1.9701666
38,Algeria,Béjaïa Province,107,1,14,36.7511783,5.0643687
39,Algeria,Constantine Province,98,0,9,36.364519,6.60826
40,Algeria,Tizi Ouzou Province,97,2,13,36.7137843,4.0493919
41,Algeria,Bordj Bou Arréridj Province,70,0,16,36.0741121,4.7613476
42,Algeria,Mostaganem Province,56,0,3,35.928808,0.089978
43,Algeria,Tlemcen Province,53,0,6,34.881789,-1.316699
44,Algeria,Chlef Province,49,0,1,36.164592,1.331499
45,Algeria,Djelfa Province,45,0,4,34.671359,3.254037
46,Algeria,Médéa Province,42,1,9,36.265344,2.766957
47,Algeria,Boumerdès Province,40,1,7,36.758882,3.470596
48,Algeria,Ouargla Province,40,1,4,31.94467,5.320958
49,Algeria,Mascara Province,39,2,4,35.394081,0.1379568
50,Algeria,Tissemsilt Province,39,1,2,35.604813,1.810476
51,Algeria,Ghardaia Province,37,0,4,32.485855,3.677104
52,Algeria,Oum El Bouaghi Province,37,0,4,35.8687758,7.1150645
53,Algeria,Jijel Province,33,0,5,36.8167305,5.771494
54,Algeria,Biskra Province,31,2,6,34.8508508,5.7286878
55,Algeria,El Oued Province,31,0,8,33.3611766,6.8603492
56,Algeria,Skikda Province,30,3,4,36.879882,6.907485
57,Algeria,Sidi Bel Abbès Province,29,0,5,35.1911682,-0.6347284
58,Algeria,Tiaret Province,29,0,2,35.3661448,1.3194687
59,Algeria,Batna Province,26,1,4,35.554404,6.1767453
60,Algeria,Adrar Province,25,0,1,27.8733807,-0.2874884
61,Algeria,Annaba Province,24,3,3,36.8982165,7.7549272
62,Algeria,Aïn Témouchent Province,23,0,4,35.26665705,-1.1499276224075037
63,Algeria,Khenchela Province,23,0,2,7.145711,35.430154
64,Algeria,Bouïra Province,19,1,2,36.3739012,3.9007007
65,Algeria,Laghouat Province,19,0,0,33.8063518,2.8808616
66,Algeria,Tébessa Province,19,0,2,35.4035956,8.1212322
67,Algeria,M'Sila Province,17,0,6,35.7087553,4.5371552
68,Algeria,Relizane Province,17,0,3,35.7381193,0.5547673
